stenosis_ID,artery_length_mm,diameter_mm,stenosis_position_mm,stenosis_length_mm,stenosis_severity_pct,start_mm,end_mm,is_eccentric
S40_S0091,100.0,3.6,30.8,13.4,46.1,24.1,37.5,FALSE
S70_S0092,100.0,4.0,24.2,18.7,79.0,14.8,33.6,FALSE
A60_S0093,100.0,3.8,22.7,10.9,67.7,17.2,28.2,TRUE
S60_S0094,100.0,3.5,33.7,14.0,66.7,26.7,40.7,FALSE
A70_S0095,100.0,3.7,35.9,15.9,70.2,28.0,43.8,TRUE
S40_S0096,100.0,3.5,26.4,15.6,41.3,18.6,34.2,FALSE
S50_S0097,100.0,3.6,32.8,10.0,58.6,27.8,37.8,FALSE
A60_S0098,100.0,3.7,36.5,10.8,65.2,31.1,41.9,TRUE
S40_S0099,100.0,3.6,24.8,11.5,40.7,19.0,30.6,FALSE
S70_S0100,100.0,3.9,19.2,9.4,77.6,14.5,23.9,FALSE
S30_S0101,100.0,3.9,31.4,9.6,35.9,26.6,36.2,FALSE
A60_S0102,100.0,4.0,26.2,11.7,60.1,20.4,32.0,TRUE
A60_S0103,100.0,3.9,28.5,14.9,68.3,21.0,36.0,TRUE
S60_S0104,100.0,3.9,37.0,13.3,67.7,30.4,43.6,FALSE
S60_S0105,100.0,3.9,32.2,19.8,60.3,22.3,42.1,FALSE
S60_S0106,100.0,3.9,20.7,12.1,62.8,14.6,26.8,FALSE
A80_S0107,100.0,4.0,33.2,15.6,89.6,25.4,41.0,TRUE
S40_S0108,100.0,4.0,26.8,15.9,44.1,18.8,34.8,FALSE
A50_S0109,100.0,3.7,31.7,16.2,50.0,23.6,39.8,TRUE
S50_S0110,100.0,3.7,27.4,8.9,54.6,23.0,31.8,FALSE
A70_S0111,100.0,3.7,20.8,13.7,73.4,14.0,27.6,TRUE
A60_S0112,100.0,3.7,20.6,12.5,63.3,14.4,26.8,TRUE
S70_S0113,100.0,3.8,32.2,13.7,70.5,25.4,39.1,FALSE
A60_S0114,100.0,3.7,21.1,10.9,66.2,15.7,26.6,TRUE
S50_S0115,100.0,3.9,32.1,13.6,58.6,25.3,38.9,FALSE
S50_S0116,100.0,3.6,19.9,12.9,50.4,13.4,26.4,FALSE
S50_S0117,100.0,3.6,24.8,13.3,57.4,18.2,31.4,FALSE
S40_S0118,100.0,3.7,32.3,8.1,49.5,28.2,36.3,FALSE
S60_S0119,100.0,3.5,31.5,10.0,61.2,26.5,36.5,FALSE
A70_S0120,100.0,3.7,23.3,7.9,74.0,19.4,27.2,TRUE
A70_S0121,100.0,3.7,24.1,11.1,71.3,18.6,29.6,TRUE
S40_S0122,100.0,3.8,21.6,18.0,45.4,12.6,30.6,FALSE
S60_S0123,100.0,3.6,27.0,16.0,60.0,19.0,35.0,FALSE
A60_S0124,100.0,4.0,24.1,5.9,62.8,21.2,27.0,TRUE
S50_S0125,100.0,3.7,22.8,12.6,56.8,16.5,29.1,FALSE
S60_S0126,100.0,3.5,21.6,18.3,61.0,12.5,30.8,FALSE
S80_S0127,100.0,3.5,22.7,12.3,87.6,16.5,28.8,FALSE
S50_S0128,100.0,3.8,35.6,16.6,58.9,27.3,43.9,FALSE
S60_S0129,100.0,3.8,24.3,9.9,63.0,19.4,29.2,FALSE
A50_S0130,100.0,3.5,30.4,12.8,56.9,24.0,36.8,TRUE
S50_S0131,100.0,3.7,18.8,12.2,54.4,12.7,24.9,FALSE
S40_S0132,100.0,3.9,35.6,6.0,47.4,32.6,38.6,FALSE
S30_S0133,100.0,3.9,21.8,12.4,39.7,15.6,28.0,FALSE
S80_S0134,100.0,3.9,35.2,9.0,85.2,30.7,39.7,FALSE
S40_S0135,100.0,3.9,22.7,13.3,48.1,16.0,29.4,FALSE
S60_S0136,100.0,3.6,30.1,8.4,61.1,25.9,34.3,FALSE
A60_S0137,100.0,3.7,24.5,12.3,63.9,18.4,30.6,TRUE
S60_S0138,100.0,3.8,27.3,12.0,62.2,21.3,33.3,FALSE
S60_S0139,100.0,3.5,19.1,13.7,62.4,12.3,26.0,FALSE
A70_S0140,100.0,3.5,26.8,15.3,72.2,19.2,34.4,TRUE
S50_S0141,100.0,3.6,22.2,11.2,51.8,16.6,27.8,FALSE
S60_S0142,100.0,3.9,28.1,17.3,67.3,19.5,36.8,FALSE
A40_S0143,100.0,3.5,35.2,6.2,40.2,32.1,38.3,TRUE
S60_S0144,100.0,3.8,38.1,8.7,68.1,33.8,42.4,FALSE
S50_S0145,100.0,3.5,22.0,6.7,54.7,18.6,25.4,FALSE
A80_S0146,100.0,4.0,31.3,14.4,84.5,24.1,38.5,TRUE
S60_S0147,100.0,3.7,22.7,11.0,69.6,17.2,28.2,FALSE
S50_S0148,100.0,3.6,29.2,14.8,51.5,21.8,36.6,FALSE
A70_S0149,100.0,3.9,28.9,9.1,75.2,24.3,33.4,TRUE
S60_S0150,100.0,3.6,30.2,13.1,64.7,23.6,36.8,FALSE
A60_S0151,100.0,3.5,32.9,8.6,68.7,28.6,37.2,TRUE
A50_S0152,100.0,3.9,28.6,10.7,53.1,23.2,34.0,TRUE
A40_S0153,100.0,3.9,30.4,15.6,40.8,22.6,38.2,TRUE
A70_S0154,100.0,3.5,34.2,12.0,76.4,28.2,40.2,TRUE
A50_S0155,100.0,3.8,37.4,13.4,57.3,30.7,44.1,TRUE
S40_S0156,100.0,3.9,31.5,5.5,49.6,28.8,34.2,FALSE
A60_S0157,100.0,3.8,29.0,14.0,65.3,22.0,36.0,TRUE
S60_S0158,100.0,3.6,28.1,9.2,62.3,23.5,32.7,FALSE
S50_S0159,100.0,3.5,33.9,8.2,55.5,29.8,38.0,FALSE
S50_S0160,100.0,4.0,36.2,9.8,56.0,31.3,41.1,FALSE
S60_S0161,100.0,3.7,35.2,11.7,65.1,29.4,41.1,FALSE
S50_S0162,100.0,3.5,29.9,14.6,59.7,22.6,37.2,FALSE
S70_S0163,100.0,3.7,18.5,10.3,74.1,13.4,23.6,FALSE
S40_S0164,100.0,3.5,25.4,11.0,45.3,19.9,30.9,FALSE
S50_S0165,100.0,3.9,34.1,12.0,51.6,28.1,40.1,FALSE
S50_S0166,100.0,3.7,26.7,13.6,50.9,19.9,33.5,FALSE
A60_S0167,100.0,3.7,19.4,7.3,67.2,15.7,23.0,TRUE
S60_S0168,100.0,3.8,38.5,9.1,62.9,34.0,43.0,FALSE
A60_S0169,100.0,3.7,30.5,6.3,64.9,27.4,33.6,TRUE
A50_S0170,100.0,3.6,35.3,12.3,57.5,29.2,41.4,TRUE
S60_S0171,100.0,3.8,31.8,16.6,62.4,23.5,40.1,FALSE
S60_S0172,100.0,3.5,31.3,6.1,61.3,28.2,34.4,FALSE
S60_S0173,100.0,3.8,26.8,12.9,60.7,20.4,33.2,FALSE
S50_S0174,100.0,3.9,36.1,8.8,59.1,31.7,40.5,FALSE
A60_S0175,100.0,3.8,22.5,15.3,61.2,14.8,30.2,TRUE
S60_S0176,100.0,3.7,30.2,12.4,69.6,24.0,36.4,FALSE
S40_S0177,100.0,3.9,28.2,12.3,49.4,22.0,34.4,FALSE
S40_S0178,100.0,3.7,35.0,13.1,49.7,28.4,41.6,FALSE
A60_S0179,100.0,3.6,28.1,11.0,60.1,22.6,33.6,TRUE
A50_S0180,100.0,3.9,37.7,9.9,52.5,32.8,42.7,TRUE
S40_S0181,100.0,4.0,40.6,10.6,47.1,35.3,45.9,FALSE
A60_S0182,100.0,3.7,36.4,14.8,66.3,29.0,43.8,TRUE
S50_S0183,100.0,3.8,38.4,15.9,57.0,30.4,46.4,FALSE
S70_S0184,100.0,3.9,22.2,16.7,71.8,13.8,30.6,FALSE
S50_S0185,100.0,3.6,28.8,13.8,54.9,21.9,35.7,FALSE
S80_S0186,100.0,3.8,28.2,13.4,80.1,21.5,34.9,FALSE
A40_S0187,100.0,3.7,24.2,12.0,49.9,18.2,30.2,TRUE
S70_S0188,100.0,3.8,37.3,11.7,70.7,31.4,43.2,FALSE
S50_S0189,100.0,3.9,30.6,17.4,59.2,21.9,39.3,FALSE
A70_S0190,100.0,3.9,28.2,11.3,73.8,22.5,33.8,TRUE
S50_S0191,100.0,3.5,34.9,15.1,54.4,27.4,42.4,FALSE
A30_S0192,100.0,3.7,26.3,8.8,37.2,21.9,30.7,TRUE
S40_S0193,100.0,3.9,31.6,13.0,45.9,25.1,38.1,FALSE
S50_S0194,100.0,3.8,30.2,12.1,55.9,24.2,36.2,FALSE
S50_S0195,100.0,3.8,21.4,11.5,54.1,15.6,27.2,FALSE
S70_S0196,100.0,3.6,19.7,8.6,72.5,15.4,24.0,FALSE
S40_S0197,100.0,4.0,21.8,10.5,49.5,16.6,27.0,FALSE
S60_S0198,100.0,3.6,18.7,11.0,60.5,13.2,24.2,FALSE
S60_S0199,100.0,3.7,32.3,10.3,69.3,27.2,37.4,FALSE
A50_S0200,100.0,3.7,19.9,12.0,56.1,13.9,25.9,TRUE
A60_S0201,100.0,3.7,18.7,13.3,67.3,12.0,25.4,TRUE
S40_S0202,100.0,3.6,17.7,17.3,47.2,9.0,26.4,FALSE
S60_S0203,100.0,3.8,34.0,15.7,67.8,26.2,41.8,FALSE
S60_S0204,100.0,3.7,32.3,14.5,69.7,25.0,39.6,FALSE
S60_S0205,100.0,3.6,21.6,10.5,68.1,16.4,26.8,FALSE
A60_S0206,100.0,4.0,30.2,10.0,66.3,25.2,35.2,TRUE
S60_S0207,100.0,3.8,25.5,12.3,64.6,19.4,31.6,FALSE
A60_S0208,100.0,3.8,31.8,12.0,67.7,25.8,37.8,TRUE
S60_S0209,100.0,3.5,20.1,12.3,66.7,14.0,26.2,FALSE
S70_S0210,100.0,3.7,33.4,9.4,72.2,28.7,38.1,FALSE
S50_S0211,100.0,3.9,34.0,10.1,57.2,29.0,39.0,FALSE
A50_S0212,100.0,3.8,33.7,14.9,56.7,26.3,41.2,TRUE
S60_S0213,100.0,3.8,29.2,17.1,62.9,20.6,37.8,FALSE
S60_S0214,100.0,3.6,25.9,11.7,65.1,20.0,31.8,FALSE
S50_S0215,100.0,4.0,22.3,12.7,57.0,16.0,28.6,FALSE
S60_S0216,100.0,3.9,31.7,9.2,60.2,27.1,36.3,FALSE
S60_S0217,100.0,3.5,21.3,9.3,67.6,16.6,26.0,FALSE
S50_S0218,100.0,3.9,22.3,11.6,57.4,16.5,28.1,FALSE
A40_S0219,100.0,4.0,35.1,17.9,48.2,26.2,44.0,TRUE
S50_S0220,100.0,3.9,28.7,11.8,58.5,22.8,34.6,FALSE
S60_S0221,100.0,3.8,25.2,10.6,69.8,19.9,30.5,FALSE
S60_S0222,100.0,4.0,21.3,5.8,61.7,18.4,24.2,FALSE
S60_S0223,100.0,3.9,24.2,11.0,64.8,18.7,29.7,FALSE
S60_S0224,100.0,3.7,34.9,12.0,61.2,28.9,40.9,FALSE
S60_S0225,100.0,3.5,25.6,16.7,66.0,17.2,34.0,FALSE
S50_S0226,100.0,3.8,35.3,13.4,50.8,28.6,42.0,FALSE
S60_S0227,100.0,3.6,29.7,14.6,67.2,22.4,37.0,FALSE
A70_S0228,100.0,3.6,19.4,7.8,72.5,15.5,23.3,TRUE
S70_S0229,100.0,3.9,22.8,17.6,74.3,14.0,31.6,FALSE
S60_S0230,100.0,3.6,24.9,17.6,68.5,16.1,33.7,FALSE
S60_S0231,100.0,4.0,20.0,14.5,68.8,12.8,27.2,FALSE
S70_S0232,100.0,3.9,36.4,7.6,72.3,32.6,40.2,FALSE
S60_S0233,100.0,3.8,26.1,17.3,63.7,17.5,34.8,FALSE
S40_S0234,100.0,3.8,37.1,7.2,40.1,33.5,40.7,FALSE
S50_S0235,100.0,3.9,27.3,6.6,54.0,24.0,30.6,FALSE
A50_S0236,100.0,3.7,33.5,19.4,52.4,23.8,43.2,TRUE
S60_S0237,100.0,3.9,27.3,12.5,62.2,21.0,33.6,FALSE
A50_S0238,100.0,3.9,36.9,9.4,58.8,32.2,41.6,TRUE
A30_S0239,100.0,3.6,24.7,12.8,37.7,18.3,31.1,TRUE
S40_S0240,100.0,3.6,23.3,13.0,47.5,16.8,29.8,FALSE
S60_S0241,100.0,3.5,25.4,12.3,62.6,19.2,31.6,FALSE
S80_S0242,100.0,3.6,32.5,8.0,82.9,28.5,36.5,FALSE
A70_S0243,100.0,4.0,29.2,15.7,70.3,21.4,37.0,TRUE
A60_S0244,100.0,4.0,23.7,15.7,68.0,15.8,31.6,TRUE
A60_S0245,100.0,4.0,28.2,6.1,61.0,25.2,31.2,TRUE
S60_S0246,100.0,3.6,24.6,13.8,68.2,17.7,31.5,FALSE
S60_S0247,100.0,3.7,30.9,14.2,62.0,23.8,38.0,FALSE
A40_S0248,100.0,3.7,33.3,13.1,48.6,26.7,39.8,TRUE
S50_S0249,100.0,3.7,20.3,12.3,52.5,14.2,26.4,FALSE
S70_S0250,100.0,3.8,36.0,13.3,70.2,29.4,42.6,FALSE
A40_S0251,100.0,3.6,33.3,14.8,44.4,25.9,40.7,TRUE
S50_S0252,100.0,3.5,20.9,13.0,51.9,14.4,27.4,FALSE
A50_S0253,100.0,3.9,23.3,15.7,55.8,15.4,31.2,TRUE
A70_S0254,100.0,4.0,40.5,11.2,74.2,34.9,46.1,TRUE
A60_S0255,100.0,3.5,21.3,7.2,62.4,17.7,24.9,TRUE
S60_S0256,100.0,3.7,27.9,15.5,68.1,20.2,35.6,FALSE
S60_S0257,100.0,4.0,35.3,15.4,61.4,27.6,43.0,FALSE
A60_S0258,100.0,4.0,25.1,17.0,65.6,16.6,33.6,TRUE
A40_S0259,100.0,3.8,34.3,16.0,48.9,26.3,42.3,TRUE
S40_S0260,100.0,3.6,21.3,11.0,42.7,15.8,26.8,FALSE
A60_S0261,100.0,3.7,18.8,11.8,68.3,12.9,24.7,TRUE
A50_S0262,100.0,3.6,18.8,10.6,56.1,13.5,24.1,TRUE
S60_S0263,100.0,3.5,23.5,11.1,65.8,18.0,29.0,FALSE
S60_S0264,100.0,3.7,23.1,10.1,68.9,18.0,28.2,FALSE
S50_S0265,100.0,4.0,26.7,13.5,52.5,20.0,33.4,FALSE
S50_S0266,100.0,3.6,19.0,7.3,51.0,15.4,22.6,FALSE
S60_S0267,100.0,3.5,25.6,15.6,65.5,17.8,33.4,FALSE
S50_S0268,100.0,3.8,33.7,10.8,53.7,28.3,39.1,FALSE
A60_S0269,100.0,3.9,31.6,18.2,60.5,22.5,40.7,TRUE
S50_S0270,100.0,3.9,27.2,14.8,59.9,19.8,34.6,FALSE
S60_S0271,100.0,3.6,32.6,18.7,66.0,23.2,42.0,FALSE
S60_S0272,100.0,3.8,30.6,10.6,68.1,25.3,35.9,FALSE
S60_S0273,100.0,3.9,32.9,13.5,62.0,26.2,39.6,FALSE
S50_S0274,100.0,3.9,25.8,11.1,50.2,20.2,31.4,FALSE
S50_S0275,100.0,3.7,23.7,17.9,59.3,14.8,32.6,FALSE
A50_S0276,100.0,3.9,22.8,13.1,51.4,16.2,29.4,TRUE
A60_S0277,100.0,3.9,31.7,10.7,63.9,26.4,37.0,TRUE
A60_S0278,100.0,3.9,37.3,14.7,66.9,29.9,44.6,TRUE
S50_S0279,100.0,3.5,17.7,7.8,59.3,13.8,21.6,FALSE
S70_S0280,100.0,3.8,32.1,16.1,72.4,24.0,40.2,FALSE
A50_S0281,100.0,3.8,23.7,8.7,56.3,19.4,28.0,TRUE
A60_S0282,100.0,3.6,34.9,13.3,61.3,28.2,41.6,TRUE
A50_S0283,100.0,3.7,26.4,12.8,59.5,20.0,32.8,TRUE
S50_S0284,100.0,3.7,29.2,13.9,53.4,22.2,36.2,FALSE
A30_S0285,100.0,4.0,23.7,16.4,35.0,15.5,31.9,TRUE
A40_S0286,100.0,3.9,35.5,12.0,41.1,29.5,41.5,TRUE
A50_S0287,100.0,3.8,25.2,12.4,54.2,19.0,31.4,TRUE
S50_S0288,100.0,3.5,33.2,16.0,54.1,25.2,41.2,FALSE
A70_S0289,100.0,3.9,26.9,13.7,70.3,20.0,33.8,TRUE
S50_S0290,100.0,3.5,26.3,12.2,56.1,20.2,32.4,FALSE
S50_S0291,100.0,3.9,28.7,9.4,56.0,24.0,33.4,FALSE
S60_S0292,100.0,4.0,40.7,11.3,61.7,35.1,46.4,FALSE
A60_S0293,100.0,3.6,23.9,13.9,63.2,17.0,30.8,TRUE
S60_S0294,100.0,3.9,26.5,8.2,69.2,22.4,30.6,FALSE
S40_S0295,100.0,3.8,32.4,15.3,49.6,24.8,40.0,FALSE
A60_S0296,100.0,3.8,23.5,16.5,61.8,15.2,31.8,TRUE
S60_S0297,100.0,3.7,32.8,13.9,62.6,25.8,39.8,FALSE
A70_S0298,100.0,3.9,21.3,13.6,73.3,14.5,28.1,TRUE
A60_S0299,100.0,3.8,20.9,9.0,68.5,16.4,25.4,TRUE
S60_S0300,100.0,3.9,30.7,9.3,67.0,26.0,35.4,FALSE
S50_S0301,100.0,3.5,32.2,8.1,57.8,28.2,36.2,FALSE
S60_S0302,100.0,3.7,35.3,7.7,60.3,31.4,39.2,FALSE
S40_S0303,100.0,4.0,36.8,9.4,48.7,32.1,41.5,FALSE
S40_S0304,100.0,4.0,29.0,5.5,44.9,26.2,31.8,FALSE
S60_S0305,100.0,3.6,26.5,15.1,60.8,19.0,34.0,FALSE
S60_S0306,100.0,3.9,31.1,10.6,69.6,25.8,36.4,FALSE
A60_S0307,100.0,3.7,32.4,16.9,68.0,24.0,40.8,TRUE
A60_S0308,100.0,3.9,29.3,13.5,64.2,22.6,36.0,TRUE
S70_S0309,100.0,3.8,29.5,12.1,79.4,23.4,35.6,FALSE
A40_S0310,100.0,3.8,22.5,13.9,49.4,15.6,29.4,TRUE
A70_S0311,100.0,3.7,30.8,11.1,71.4,25.2,36.4,TRUE
S50_S0312,100.0,3.6,34.3,5.4,54.7,31.6,37.0,FALSE
S40_S0313,100.0,3.5,23.0,9.6,48.5,18.2,27.8,FALSE
A40_S0314,100.0,3.8,32.8,5.0,46.6,30.3,35.3,TRUE
A60_S0315,100.0,3.9,27.0,10.1,63.1,22.0,32.0,TRUE
S60_S0316,100.0,3.8,25.8,14.7,68.9,18.5,33.2,FALSE
S60_S0317,100.0,3.8,31.2,8.6,66.9,26.9,35.5,FALSE
A60_S0318,100.0,3.7,32.0,10.0,60.4,27.0,37.0,TRUE
S70_S0319,100.0,3.6,30.7,15.6,77.4,22.9,38.5,FALSE
S60_S0320,100.0,3.9,33.7,10.8,68.7,28.3,39.1,FALSE
S50_S0321,100.0,3.9,38.6,10.7,56.7,33.2,44.0,FALSE
A60_S0322,100.0,3.5,19.6,7.6,62.0,15.8,23.4,TRUE
S40_S0323,100.0,4.0,29.6,12.7,48.4,23.2,36.0,FALSE
S50_S0324,100.0,3.7,36.4,13.4,58.9,29.7,43.1,FALSE
S50_S0325,100.0,3.8,36.8,10.5,58.0,31.6,42.0,FALSE
S70_S0326,100.0,3.9,30.8,12.7,76.3,24.5,37.2,FALSE
S30_S0327,100.0,3.7,22.7,13.8,36.7,15.8,29.6,FALSE
S70_S0328,100.0,3.9,29.4,10.1,71.6,24.3,34.4,FALSE
S50_S0329,100.0,3.8,33.5,13.9,54.9,26.6,40.4,FALSE
S70_S0330,100.0,3.8,23.9,14.0,77.1,16.9,30.9,FALSE
A40_S0331,100.0,3.8,22.8,13.1,48.5,16.2,29.4,TRUE
S70_S0332,100.0,3.8,21.6,10.8,77.7,16.2,27.0,FALSE
A70_S0333,100.0,3.8,21.2,13.8,70.9,14.3,28.1,TRUE
S50_S0334,100.0,3.9,32.2,12.5,56.4,26.0,38.4,FALSE
S50_S0335,100.0,3.7,26.0,6.4,57.1,22.8,29.2,FALSE
S50_S0336,100.0,3.7,33.6,8.4,51.8,29.4,37.8,FALSE
S70_S0337,100.0,3.9,19.9,14.1,73.2,12.8,27.0,FALSE
S60_S0338,100.0,3.9,34.2,10.8,63.6,28.8,39.6,FALSE
S50_S0339,100.0,4.0,26.6,11.9,58.0,20.7,32.6,FALSE
S60_S0340,100.0,3.6,34.8,14.6,66.6,27.5,42.1,FALSE
A70_S0341,100.0,3.6,29.8,13.4,77.2,23.1,36.5,TRUE
S60_S0342,100.0,3.7,28.2,19.2,61.4,18.6,37.8,FALSE
A40_S0343,100.0,3.9,23.8,12.5,43.5,17.6,30.0,TRUE
S40_S0344,100.0,3.7,37.0,14.0,45.0,30.0,44.0,FALSE
A40_S0345,100.0,3.9,35.4,7.3,49.6,31.8,39.0,TRUE
S30_S0346,100.0,4.0,37.4,10.6,35.1,32.1,42.7,FALSE
